order_id,order_date,customer_name,email,item,amount
ORD-1001,2026-04-10,Ananya Nair,ananya.nair@example.com,Mechanical Keyboard,3499.0
ORD-1002,2026-03-22,Rohan Singh,rohan.singh@mailbox.in,Mechanical Keyboard,3449.0
ORD-1003,2026-04-15,Karthik Reddy,karthik.reddy@example.com,Monitor 24in,9999.0
ORD-1004,2026-05-09,Rohan Iyer,rohan.iyer@mailbox.in,Laptop Stand,1399.0
ORD-1005,2026-03-15,Meera Patel,meera.patel@mailbox.in,Laptop Stand,1399.0
ORD-1006,2026-03-08,Arjun Verma,arjun.verma@workmail.com,Desk Lamp,749.0
ORD-1007,2026-04-23,Meera Sharma,meera.sharma@mailbox.in,Laptop Stand,1299.0
ORD-1008,2026-03-09,Arjun Iyer,arjun.iyer@example.com,Headphones,2099.0
ORD-1009,2026-04-19,Rahul Menon,rahul.menon@mailbox.in,Power Bank,1499.0
ORD-1010,2026-03-25,Aarav Iyer,aarav.iyer@mailbox.in,Headphones,1999.0
ORD-1011,2026-04-03,Arjun Verma,arjun.verma@workmail.com,Monitor 24in,10099.0
ORD-1012,2026-04-28,Aarav Iyer,aarav.iyer@mailbox.in,Webcam HD,2599.0
ORD-1013,2026-03-10,Nisha Verma,nisha.verma@example.com,Desk Lamp,749.0
ORD-1014,2026-04-25,Ananya Iyer,ananya.iyer@workmail.com,Webcam HD,2449.0
ORD-1015,2026-04-07,Arjun Iyer,arjun.iyer@example.com,Phone Case,399.0
ORD-1016,2026-03-20,Nisha Verma,nisha.verma@example.com,Phone Case,349.0
ORD-1017,2026-03-02,Rohan Iyer,rohan.iyer@mailbox.in,Webcam HD,2449.0
ORD-1018,2026-03-25,Ananya Iyer,ananya.iyer@workmail.com,Headphones,1999.0
ORD-1019,2026-04-17,Meera Patel,meera.patel@mailbox.in,USB-C Hub,1799.0
ORD-1020,2026-05-10,Nisha Verma,nisha.verma@example.com,Laptop Stand,1299.0
ORD-1021,2026-03-08,Karthik Gupta,karthik.gupta@mailbox.in,Mechanical Keyboard,3449.0
ORD-1022,2026-04-08,Meera Patel,meera.patel@mailbox.in,Laptop Stand,1249.0
ORD-1023,2026-04-03,Meera Sharma,meera.sharma@mailbox.in,Wireless Mouse,899.0
ORD-1024,2026-03-24,Rohan Singh,rohan.singh@mailbox.in,Phone Case,399.0
